,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
29635,Shāhpura,Shahpura,23.1366,79.664,India,IN,IND,Madhya Pradesh,,15784.0,1356043628
29638,Kāndla Port,Kandla Port,23.03,70.22,India,IN,IND,Gujarāt,,15782.0,1356512112
29639,Chethakal,Chethakal,9.4386,76.8322,India,IN,IND,Kerala,,15781.0,1356788059
29640,Mahudha,Mahudha,22.82,72.93,India,IN,IND,Gujarāt,,15780.0,1356391480
29658,Kannampālaiyam,Kannampalaiyam,10.9954,77.099,India,IN,IND,Tamil Nādu,,15760.0,1356169958
29661,Mansingha,Mansingha,26.7807,84.8367,India,IN,IND,Bihār,,15759.0,1356678788
29663,Akambādam,Akambadam,11.1,76.3167,India,IN,IND,Kerala,,15758.0,1356079112
29664,Kalanādu,Kalanadu,12.4667,75.0,India,IN,IND,Kerala,,15755.0,1356688630
29665,Rūpbās,Rupbas,26.9833,77.5833,India,IN,IND,Rājasthān,,15755.0,1356801450
29667,Kasimkota,Kasimkota,17.6736,82.9634,India,IN,IND,Andhra Pradesh,,15753.0,1356731748
29676,Sonāpur,Sonapur,25.3561,86.2082,India,IN,IND,Bihār,,15746.0,1356303493
29692,Trisshilēri,Trisshileri,11.8333,76.0333,India,IN,IND,Kerala,,15731.0,1356126290
29698,Puduppatti,Puduppatti,11.55,78.2833,India,IN,IND,Tamil Nādu,,15727.0,1356253569
29706,Dūbacherla,Dubacherla,16.9116,81.3569,India,IN,IND,Andhra Pradesh,,15725.0,1356077652
29716,Tarūr,Tarur,10.6722,76.4694,India,IN,IND,Kerala,,15720.0,1356737604
29719,Eravattūr,Eravattur,11.5833,75.7333,India,IN,IND,Kerala,,15716.0,1356082903
29721,Bharanikāvu Tekku,Bharanikavu Tekku,9.1847,76.5446,India,IN,IND,Kerala,,15715.0,1356160996
29725,Sāhar,Sahar,26.5408,85.859,India,IN,IND,Bihār,,15711.0,1356475122
29730,Pochampalli,Pochampalli,17.3473,78.8195,India,IN,IND,Telangāna,,15704.0,1356196811
29735,Beko,Beko,24.0415,85.9536,India,IN,IND,Jhārkhand,,15700.0,1356258941
29744,Turkaguda,Turkaguda,17.153,78.6195,India,IN,IND,Telangāna,,15689.0,1356802261
29745,Damdama,Damdama,24.4341,87.7849,India,IN,IND,West Bengal,,15688.0,1356137038
29782,Bhit Bhagwānpur,Bhit Bhagwanpur,26.116,86.355,India,IN,IND,Bihār,,15660.0,1356282994
29783,Kājha,Kajha,25.7747,87.3545,India,IN,IND,Bihār,,15659.0,1356662670
29784,Dhemāji,Dhemaji,27.4833,94.5833,India,IN,IND,Assam,,15659.0,1356876792
29802,Bālkonda,Balkonda,18.8667,78.35,India,IN,IND,Telangāna,,15644.0,1356903520
29819,Rājāpur,Rajapur,26.2861,83.1306,India,IN,IND,Uttar Pradesh,,15632.0,1356737116
29833,Puttalam,Puttalam,8.0981,77.464,India,IN,IND,Tamil Nādu,,15622.0,1356226752
29836,Cheramkod,Cheramkod,11.6,76.3167,India,IN,IND,Tamil Nādu,,15620.0,1356494273
29837,Solapuram,Solapuram,9.3757,77.5598,India,IN,IND,Tamil Nādu,,15620.0,1356204350
29838,Pallappatti,Pallappatti,10.3564,77.9516,India,IN,IND,Tamil Nādu,,15620.0,1356249292
29850,Jurāwanpur Karāri,Jurawanpur Karari,25.5273,85.4182,India,IN,IND,Bihār,,15612.0,1356203688
29852,Dewangarh,Dewangarh,24.8637,85.8584,India,IN,IND,Bihār,,15610.0,1356231194
29855,Narendrapatnam,Narendrapatnam,17.0964,81.8812,India,IN,IND,Andhra Pradesh,,15607.0,1356083452
29856,Kolakalūru,Kolakaluru,16.3052,80.6182,India,IN,IND,Andhra Pradesh,,15607.0,1356745224
29857,Antarvedi,Antarvedi,16.3333,81.7333,India,IN,IND,Andhra Pradesh,,15605.0,1356744905
29862,Chembagarāmanpudūr,Chembagaramanpudur,8.2461,77.4907,India,IN,IND,Tamil Nādu,,15602.0,1356228551
29863,Bilpura,Bilpura,23.2216,79.9917,India,IN,IND,Madhya Pradesh,,15601.0,1356052061
29872,Sundarpur,Sundarpur,26.3037,84.8581,India,IN,IND,Bihār,,15591.0,1356729218
29878,Bhagta,Bhagta,30.4882,75.1013,India,IN,IND,Punjab,,15587.0,1356054484
29879,Bhagwāngola,Bhagwangola,24.3485,88.3243,India,IN,IND,West Bengal,,15587.0,1356116155
29884,Baynāla,Baynala,22.4835,88.4997,India,IN,IND,West Bengal,,15582.0,1356212214
29889,Muhammadābād,Muhammadabad,16.8731,77.8909,India,IN,IND,Telangāna,,15578.0,1356713109
29894,Kadaiyam,Kadaiyam,8.832,77.357,India,IN,IND,Tamil Nādu,,15576.0,1356657382
29895,Belo,Belo,25.8747,86.8855,India,IN,IND,Bihār,,15576.0,1356552062
29896,Kompalle,Kompalle,17.4993,78.4583,India,IN,IND,Telangāna,,15575.0,1356654785
29903,Ernagūdem,Ernagudem,16.9989,81.5061,India,IN,IND,Andhra Pradesh,,15572.0,1356062617
29910,Vatlūru,Vatluru,16.7009,81.0525,India,IN,IND,Andhra Pradesh,,15561.0,1356799189
29918,Edakkazhiyūr,Edakkazhiyur,10.6167,75.9833,India,IN,IND,Kerala,,15553.0,1356700128
29922,Jasol,Jasol,25.49,72.13,India,IN,IND,Rājasthān,,15552.0,1356016834
29926,Chittūr,Chittur,11.647,77.8239,India,IN,IND,Tamil Nādu,,15550.0,1356168530
29927,Sāligrāma,Saligrama,12.5602,76.2611,India,IN,IND,Karnātaka,,15549.0,1356676972
29931,Ponnamarāvati,Ponnamaravati,10.2803,78.536,India,IN,IND,Tamil Nādu,,15544.0,1356460227
29937,Palhālan,Palhalan,34.1823,74.5506,India,IN,IND,Jammu and Kashmīr,,15540.0,1356145709
29944,Kukkundūr,Kukkundur,13.2404,74.9541,India,IN,IND,Karnātaka,,15536.0,1356746140
29945,Sānātikri,Sanatikri,22.023,88.5033,India,IN,IND,West Bengal,,15536.0,1356384809
29946,Kumaralingam,Kumaralingam,10.4894,77.3499,India,IN,IND,Tamil Nādu,,15535.0,1356001816
29957,Barod,Barod,23.7889,75.8116,India,IN,IND,Madhya Pradesh,,15528.0,1356772699
29980,Palanisettipatti,Palanisettipatti,9.9998,77.4641,India,IN,IND,Tamil Nādu,,15510.0,1356242703
